Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
2013-12-19,1.0,5.0,-4.0,59.0,3.0
2013-12-20,1.0,5.0,-4.0,93.0,6.0
2013-12-21,-2.0,3.0,-5.0,11.0,0.0
2013-12-22,-1.0,4.0,-5.0,10.0,0.0
2013-12-23,2.0,5.0,-3.0,43.0,2.0
2013-12-24,1.0,4.0,-4.0,50.0,3.0
2013-12-25,1.0,5.0,-4.0,14.0,0.0
2013-12-26,2.0,5.0,-2.0,37.0,2.0
2013-12-27,-2.0,4.0,-5.0,29.0,1.0
2013-12-28,1.0,4.0,-4.0,7.0,0.0
2013-12-29,2.0,5.0,-3.0,8.0,0.0
2013-12-30,-1.0,4.0,-5.0,33.0,2.0
2013-12-31,2.0,5.0,-3.0,36.0,2.0
2014-01-01,1.0,5.0,-3.0,8.0,0.0
2014-01-02,2.0,5.0,-3.0,73.0,5.0
2014-01-03,-1.0,4.0,-4.0,77.0,5.0
2014-01-04,-2.0,3.0,-5.0,17.0,1.0
2014-01-05,-3.0,1.0,-5.0,13.0,0.0
2014-01-06,-1.0,4.0,-5.0,89.0,6.0
2014-01-07,-1.0,4.0,-5.0,129.0,9.0
2014-01-08,-1.0,4.0,-4.0,101.0,7.0
2014-01-09,1.0,4.0,-4.0,79.0,5.0
2014-01-10,1.0,5.0,-3.0,86.0,6.0
2014-01-11,1.0,5.0,-4.0,23.0,1.0
2014-01-12,2.0,5.0,-2.0,24.0,1.0
2014-01-13,-1.0,4.0,-5.0,127.0,9.0
2014-01-14,-1.0,4.0,-5.0,116.0,8.0
2014-01-15,-1.0,4.0,-4.0,108.0,8.0
2014-01-16,-3.0,2.0,-5.0,172.0,10.0
2014-01-17,1.0,4.0,-4.0,135.0,7.0
2014-01-18,-1.0,4.0,-4.0,21.0,1.0
2014-01-19,1.0,4.0,-4.0,11.0,0.0
2014-01-20,-1.0,4.0,-4.0,57.0,3.0
2014-01-21,-1.0,4.0,-4.0,104.0,6.0
2014-01-22,1.0,4.0,-4.0,94.0,5.0
2014-01-23,-1.0,4.0,-4.0,85.0,4.0
2014-01-24,-1.0,4.0,-5.0,84.0,4.0
2014-01-25,3.0,5.0,-1.0,14.0,0.0
2014-01-26,3.0,5.0,-1.0,10.0,0.0
2014-01-27,-1.0,4.0,-5.0,63.0,3.0
2014-01-28,1.0,5.0,-4.0,60.0,3.0
2014-01-29,-1.0,3.0,-5.0,84.0,4.0
2014-01-30,-1.0,3.0,-5.0,107.0,6.0
2014-01-31,-1.0,4.0,-5.0,135.0,7.0
2014-02-01,-1.0,4.0,-5.0,28.0,1.0
2014-02-02,-1.0,4.0,-5.0,11.0,0.0
2014-02-03,-1.0,4.0,-5.0,103.0,5.0
2014-02-04,1.0,4.0,-4.0,101.0,5.0
2014-02-05,-1.0,4.0,-5.0,100.0,5.0
2014-02-06,1.0,5.0,-4.0,97.0,5.0
2014-02-07,-1.0,4.0,-4.0,82.0,4.0
2014-02-08,-2.0,3.0,-5.0,15.0,0.0
2014-02-09,-2.0,2.0,-5.0,8.0,0.0
2014-02-10,1.0,5.0,-4.0,73.0,4.0
2014-02-11,1.0,4.0,-3.0,135.0,7.0
2014-02-12,1.0,4.0,-4.0,119.0,6.0
2014-02-13,-1.0,4.0,-5.0,76.0,4.0
2014-02-14,-1.0,4.0,-4.0,104.0,6.0
2014-02-15,1.0,5.0,-4.0,19.0,1.0
2014-02-16,-1.0,4.0,-5.0,12.0,0.0
2014-02-17,2.0,5.0,-2.0,43.0,3.0
2014-02-18,1.0,5.0,-3.0,73.0,5.0
2014-02-19,1.0,5.0,-4.0,47.0,3.0
2014-02-20,1.0,5.0,-3.0,66.0,4.0
2014-02-21,1.0,5.0,-4.0,91.0,6.0
2014-02-22,-1.0,4.0,-5.0,14.0,1.0
2014-02-23,2.0,5.0,-3.0,11.0,0.0
2014-02-24,1.0,5.0,-4.0,83.0,6.0
2014-02-25,1.0,5.0,-4.0,108.0,8.0
2014-02-26,2.0,5.0,-3.0,101.0,7.0
2014-02-27,2.0,5.0,-3.0,68.0,5.0
2014-02-28,-1.0,3.0,-5.0,83.0,6.0
2014-03-01,-2.0,3.0,-5.0,28.0,2.0
2014-03-02,-1.0,4.0,-4.0,9.0,0.0
2014-03-03,1.0,4.0,-4.0,80.0,5.0
2014-03-04,1.0,5.0,-4.0,88.0,6.0
2014-03-05,1.0,5.0,-4.0,83.0,6.0
2014-03-06,1.0,5.0,-3.0,86.0,6.0
2014-03-07,1.0,5.0,-4.0,116.0,8.0
2014-03-08,1.0,5.0,-4.0,26.0,1.0
2014-03-09,2.0,5.0,-3.0,17.0,1.0
2014-03-10,1.0,5.0,-4.0,81.0,6.0
2014-03-11,1.0,5.0,-3.0,64.0,4.0
2014-03-12,-1.0,4.0,-4.0,147.0,10.0
2014-03-13,-1.0,4.0,-4.0,146.0,9.0
2014-03-14,1.0,5.0,-4.0,119.0,8.0
2014-03-15,2.0,5.0,-2.0,15.0,1.0
2014-03-16,1.0,5.0,-4.0,27.0,1.0
2014-03-17,2.0,5.0,-3.0,82.0,5.0
2014-03-18,2.0,5.0,-3.0,110.0,7.0
2014-03-19,-1.0,4.0,-4.0,108.0,7.0
2014-03-20,-1.0,4.0,-4.0,135.0,9.0
2014-03-21,-1.0,3.0,-5.0,144.0,9.0
2014-03-22,-1.0,3.0,-5.0,19.0,1.0
2014-03-23,1.0,5.0,-3.0,19.0,1.0
2014-03-24,-1.0,4.0,-4.0,53.0,3.0
2014-03-25,-1.0,4.0,-4.0,101.0,6.0
2014-03-26,1.0,4.0,-4.0,85.0,5.0
2014-03-27,2.0,5.0,-3.0,96.0,6.0
2014-03-28,2.0,5.0,-3.0,106.0,7.0
2014-03-29,-1.0,4.0,-4.0,11.0,0.0
2014-03-30,-2.0,3.0,-5.0,30.0,2.0
2014-03-31,2.0,5.0,-2.0,61.0,4.0
2014-04-01,1.0,5.0,-4.0,115.0,7.0
2014-04-02,1.0,5.0,-4.0,151.0,10.0
2014-04-03,1.0,4.0,-4.0,84.0,5.0
2014-04-04,3.0,5.0,-1.0,115.0,7.0
2014-04-05,-1.0,4.0,-5.0,10.0,0.0
2014-04-06,1.0,4.0,-2.0,19.0,1.0
2014-04-07,1.0,4.0,-3.0,89.0,5.0
2014-04-08,1.0,4.0,-4.0,139.0,9.0
2014-04-09,-1.0,4.0,-5.0,141.0,9.0
2014-04-10,-1.0,4.0,-5.0,131.0,8.0
2014-04-11,1.0,5.0,-4.0,79.0,5.0
2014-04-12,2.0,5.0,-3.0,19.0,1.0
2014-04-13,2.0,5.0,-2.0,21.0,1.0
2014-04-14,2.0,5.0,-3.0,133.0,8.0
2014-04-15,2.0,5.0,-2.0,91.0,6.0
2014-04-16,2.0,5.0,-2.0,89.0,5.0
2014-04-17,-1.0,3.0,-5.0,128.0,8.0
2014-04-18,-1.0,4.0,-4.0,48.0,3.0
2014-04-19,2.0,5.0,-3.0,8.0,0.0
2014-04-20,-1.0,4.0,-4.0,8.0,0.0
2014-04-21,2.0,5.0,-2.0,45.0,2.0
2014-04-22,2.0,5.0,-3.0,72.0,4.0
2014-04-23,-1.0,4.0,-5.0,69.0,4.0
2014-04-24,-1.0,4.0,-5.0,64.0,4.0
2014-04-25,2.0,5.0,-3.0,54.0,3.0
2014-04-26,-1.0,4.0,-5.0,15.0,0.0
2014-04-27,-1.0,3.0,-4.0,16.0,1.0
2014-04-28,-1.0,4.0,-4.0,35.0,2.0
2014-04-29,-1.0,4.0,-5.0,88.0,5.0
2014-04-30,1.0,5.0,-4.0,79.0,5.0
